property_type,location,bed,bath,total_sqft,price
Apartment,"Faydabad, Dakshin Khan, Dhaka",2,2,600 sqft,"2,280,000"
Apartment,"Faydabad, Dakshin Khan, Dhaka",2,2,600 sqft,"2,280,000"
Apartment,"Faydabad, Dakshin Khan, Dhaka",2,2,600 sqft,"2,280,000"
Apartment,"Faydabad, Dakshin Khan, Dhaka",2,2,600 sqft,"2,280,000"
Apartment,"Faydabad, Dakshin Khan, Dhaka",2,2,600 sqft,"2,280,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,150 sqft","5,750,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,100 sqft","5,500,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,050 sqft","5,250,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,2,"1,150 sqft","5,750,000"
Apartment,"Section 10, Mirpur, Dhaka",3,2,"1,100 sqft","5,500,000"
Apartment,"Block A, Bashundhara R-A, Dhaka",4,4,"2,100 sqft","14,000,000"
Apartment,"South Baridhara Residential Area,D.I.T. Project, Badda, Dhaka",2,2,850 sqft,"4,250,000"
Apartment,"Pallabi, Mirpur, Dhaka",3,3,"1,550 sqft","5,000,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,222 sqft","6,354,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,213 sqft","6,300,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,222 sqft","6,354,000"
Apartment,"Kallyanpur, Mirpur, Dhaka",3,3,"1,213 sqft","6,300,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,507,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,325,500"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,507,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,507,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,325,500"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,507,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,325,500"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,325,500"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,507,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,3,"1,600 sqft","10,000,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,3,"1,500 sqft","9,000,000"
Apartment,"Block F, Bashundhara R-A, Dhaka",3,3,"1,500 sqft","9,000,000"
Apartment,"Block E, Banasree, Dhaka",4,4,"1,850 sqft","11,200,000"
Apartment,"New Market, Dhaka",3,3,"1,708 sqft","10,248,000"
Apartment,"Block G, Banasree, Dhaka",3,3,"1,241 sqft","7,325,500"
Apartment,"rayer bazar-sanker road, Dhanmondi, Dhaka",3,4,"2,100 sqft","13,000,000"
Apartment,"East Kazipara, Mirpur, Dhaka",2,2,875 sqft,"4,200,000"
Apartment,"Road No 9A, Dhanmondi, Dhaka",3,4,"1,376 sqft","13,500,000"
Apartment,"New Eskaton Road, Eskaton, Dhaka",3,3,"2,009 sqft","17,000,000"
Apartment,"Indira Road, Tejgaon, Dhaka",3,3,"1,300 sqft","6,500,000"
